item|id|lat|lon|code|label|work
148|470248661|55.7555707|37.6654804|||
149|473427341|55.8118654|37.8056976|||
150|480675819|55.6241941|37.5118671|||
151|480762506|55.7174460|37.4185596|||
152|480805929|55.6563626|37.5318733|||
153|483606828|55.7152750|37.5088262|||
154|483606831|55.7132193|37.5053646|||
155|486000188|55.9251774|37.9939295|||
156|486111433|55.8297511|37.7284159|||
157|490099963|55.7345248|37.3305390|||
158|491643694|55.7535603|37.4337029|||
159|492017919|55.7869151|37.2404355|||
160|492017931|55.7831037|37.2369436|||
161|492017960|55.7842097|37.2392272|||
162|494013886|55.7202790|37.4035204|||
163|494479762|55.8117419|37.6331677|||
164|494835624|55.6139985|38.0819694|||
165|495982986|55.9740593|37.4822368|||
166|500962121|55.7353818|37.4548414|||
167|503238792|55.6995723|37.7916608|||
168|504476480|55.7156559|37.5028791|||
169|506150069|55.8970899|37.3557008|||
170|510615154|55.6340842|37.5989998|||
171|510615300|55.6341892|37.6010146|||
172|512134826|55.6811512|37.4848866|||
173|512134970|55.6812472|37.4820981|||
174|514244339|55.8883698|37.7627056|||
175|514267961|55.8807220|37.7400427|||
176|517243151|55.6820962|37.5801685|||
177|518782093|55.4795831|37.2697679|||
178|518782121|55.4866530|37.2711882|||
179|519849022|55.6503991|38.0166661|||
180|520329599|55.6726477|37.8137283|||
181|520329746|55.6721638|37.8213408|||
182|525812285|55.9179687|37.1578964|||
183|526522698|55.7330779|37.4647224|||
184|526523396|55.7348809|37.4465264|||
185|526679879|55.7343726|37.4558081|||
186|526679901|55.7349092|37.4479151|||
187|528908587|55.7337086|37.4026524|||
188|529816487|55.6900336|37.7746383|||
189|534722674|55.8974360|37.9854452|||
190|534722700|55.8989600|37.9873923|||
191|538964196|55.8871144|37.5657688|||
192|554951382|55.7057316|37.7366697|||
193|560239340|55.8572432|37.6310657|||
194|564628008|55.7387732|37.5833556|||
195|564741853|55.8568456|37.6883791|||
196|567326550|55.7604310|37.6111922|||
197|567610265|55.6132222|37.7205487|||
198|570063730|55.6820007|37.6250842|||
199|570790155|55.8861762|37.4388284|||
200|571104429|55.6953763|37.5982373|||
201|575949162|55.6987402|37.5737075|||
202|575968865|55.7004544|37.5763657|||
203|581701591|55.7753263|37.6249038|||
204|581701600|55.7774688|37.6242131|||
205|583255256|55.5445039|37.2872493|||
206|583279593|55.6958800|37.5362424|||
207|583658152|55.6977255|37.5370067|||
208|583658192|55.6969753|37.5383140|||
209|588371857|55.7222704|37.9338216|||
210|593168356|55.8346598|37.9901585|||
211|593984058|55.7088900|37.7654562|||
212|595761670|55.8985462|38.0471987|||
213|595960589|55.7930783|37.9538135|||
214|596630282|55.6773113|37.5079500|||
215|596820177|55.6230064|37.6078080|||
216|597416138|55.7145334|37.5654967|||
217|598461436|55.7712350|37.5825818|||
218|598609810|55.7047028|37.4032450|||
219|598611222|55.7091393|37.3885109|||
220|599167483|55.5268388|37.6648290|||
221|599168624|55.5087393|37.6443262|||
222|600311453|55.7994442|37.6080448|||
223|603141173|55.6676588|37.8645563|||
224|604704392|55.5345155|37.4048480|||
225|604704419|55.5294886|37.4130009|||
226|604704495|55.5337282|37.4125873|||
227|604705397|55.7050971|37.4032390|||
228|604989650|55.5011452|37.3234818|||
229|605067891|55.6620634|37.4818063|||
230|605067902|55.6636723|37.4812598|||
231|605254584|55.7137898|37.8204826|||
232|605401971|55.7910429|37.5441956|||
233|607013521|55.9249722|37.9961188|||
234|610519129|55.8033632|37.3952922|||
235|610589230|55.6973772|37.3355791|||
236|610902742|55.6988587|37.5110882|||
237|610995964|55.7231388|37.6307987|||
238|611040731|55.7716096|37.4208032|||
239|611040732|55.7716447|37.4210191|||
240|611040738|55.7712934|37.4243117|||
241|611040739|55.7712560|37.4245243|||
242|611650292|55.6666985|37.7387325|||
243|612298846|55.5939101|37.5395295|||
244|612398468|55.7964792|37.5777729|||
245|612398471|55.7968119|37.5777275|||
246|612576225|55.8740986|37.5883654|||
247|612944308|55.8518531|37.3648659|||
248|612944329|55.8549867|37.3643197|||
249|612946571|55.6587954|37.6135532|||
250|613206646|55.6511087|37.4842267|||
251|613206662|55.6515553|37.4815227|||
252|613210823|55.6560915|37.4797809|||
253|613641939|55.8060803|37.5059293|||
254|614000754|55.7063299|37.6199780|||
255|614107116|55.8378701|37.6550943|||
256|614438939|55.8303852|37.6814919|||
257|614515199|55.7179267|37.5118411|||
258|614989027|55.7929616|37.3931265|||
259|615934522|55.6894264|37.8662770|||
260|616160748|55.9144558|37.3979566|||
261|616315228|55.8966176|37.6371009|||
262|616710770|55.6866360|37.8719946|||
263|617125096|55.7922204|37.6713171|||
264|617804105|55.5222014|37.2624656|||
265|617859180|55.6170752|37.9714097|||
266|617891535|55.4306798|37.3161342|||
267|618001154|55.7261503|37.3834025|||
268|619105424|55.4497558|37.4338050|||
